,Selected Features,R²,Adjusted R²,Num Features
Forward Selection,"['Temperature(C)', 'Hour', 'Functioning Day_Yes', 'Humidity(%)', 'Seasons_Winter', 'Rainfall(mm)', 'Seasons_Spring', 'Hour_sin', 'IsWeekend', 'Seasons_Summer', 'Temperature_sq', 'Holiday_No Holiday', 'Dew point temperature(C)', 'Hour_cos', 'Solar Radiation (MJ/m2)', 'Snowfall (cm)', 'DayOfWeek', 'Visibility (10m)', 'Wind speed (m/s)']",0.576636312273906,0.5755790159980391,19
Backward Selection,"['Hour', 'Temperature(C)', 'Humidity(%)', 'Wind speed (m/s)', 'Visibility (10m)', 'Dew point temperature(C)', 'Solar Radiation (MJ/m2)', 'Rainfall(mm)', 'Snowfall (cm)', 'DayOfWeek', 'IsWeekend', 'Hour_sin', 'Hour_cos', 'Temperature_sq', 'Seasons_Spring', 'Seasons_Summer', 'Seasons_Winter', 'Holiday_No Holiday', 'Functioning Day_Yes']",0.576636312273906,0.5755790159980391,19
Stepwise Selection,"['Temperature(C)', 'Temperature_sq', 'Seasons_Winter', 'Hour', 'Hour_sin', 'Dew point temperature(C)', 'Seasons_Summer', 'Solar Radiation (MJ/m2)', 'Functioning Day_Yes', 'Visibility (10m)', 'Humidity(%)', 'Snowfall (cm)', 'Rainfall(mm)', 'Wind speed (m/s)', 'Hour_cos', 'Holiday_No Holiday', 'IsWeekend', 'DayOfWeek', 'Seasons_Spring']",0.576636312273906,0.5755790159980391,19
